"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"0 to 64 years";"65 to 79 years";"80 years or older"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female"
"Periods";"aantal";"aantal";"aantal";"aantal"
"2019 week 1 (6 days)";"2606";"341";"715";"1550"
"2019 week 2";"3262";"463";"864";"1935"
"2019 week 3";"3152";"396";"928";"1828"
"2019 week 4";"3179";"420";"931";"1828"
"2019 week 5";"3139";"438";"944";"1757"
"2019 week 6";"3183";"400";"983";"1800"
"2019 week 7";"3254";"405";"915";"1934"
"2019 week 8";"3220";"414";"939";"1867"
"2019 week 9";"3065";"400";"877";"1788"
"2019 week 10";"3172";"429";"938";"1805"
"2019 week 11";"3225";"414";"979";"1832"
"2019 week 12";"3043";"400";"860";"1783"
"2019 week 13";"3013";"396";"893";"1724"
"2019 week 14";"2898";"384";"847";"1667"
"2019 week 15";"2902";"403";"889";"1610"
"2019 week 16";"3036";"425";"899";"1712"
"2019 week 17";"2956";"367";"859";"1730"
"2019 week 18";"2806";"377";"869";"1560"
"2019 week 19";"2772";"378";"821";"1573"
"2019 week 20";"2821";"387";"811";"1623"
"2019 week 21";"2873";"404";"810";"1659"
"2019 week 22";"2730";"387";"846";"1497"
"2019 week 23";"2734";"417";"805";"1512"
"2019 week 24";"2647";"368";"818";"1461"
"2019 week 25";"2692";"365";"865";"1462"
"2019 week 26";"2836";"411";"857";"1568"
"2019 week 27";"2725";"385";"866";"1474"
"2019 week 28";"2761";"402";"841";"1518"
"2019 week 29";"2586";"402";"816";"1368"
"2019 week 30";"3006";"433";"879";"1694"
"2019 week 31";"2731";"379";"857";"1495"
"2019 week 32";"2629";"371";"783";"1475"
"2019 week 33";"2613";"360";"837";"1416"
"2019 week 34";"2617";"373";"814";"1430"
"2019 week 35";"2783";"383";"905";"1495"
"2019 week 36";"2553";"377";"782";"1394"
"2019 week 37";"2642";"380";"847";"1415"
"2019 week 38";"2580";"355";"817";"1408"
"2019 week 39";"2751";"395";"861";"1495"
"2019 week 40";"2717";"409";"815";"1493"
"2019 week 41";"2912";"411";"945";"1556"
"2019 week 42";"2879";"383";"912";"1584"
"2019 week 43";"2867";"402";"935";"1530"
"2019 week 44";"2856";"394";"884";"1578"
"2019 week 45";"3015";"467";"852";"1696"
"2019 week 46";"3060";"458";"922";"1680"
"2019 week 47";"3023";"389";"925";"1709"
"2019 week 48";"3045";"424";"944";"1677"
"2019 week 49";"3018";"407";"918";"1693"
"2019 week 50";"3161";"430";"1021";"1710"
"2019 week 51";"3253";"454";"1000";"1799"
"2019 week 52";"3028";"410";"936";"1682"
"2019 week 53 (2 days)";"858";"113";"264";"481"
"Source: CBS"
