"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"0 to 64 years";"65 to 79 years";"80 years or older"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female"
"Periods";"aantal";"aantal";"aantal";"aantal"
"2017 week 1";"3568";"454";"929";"2185"
"2017 week 2";"3637";"418";"993";"2226"
"2017 week 3";"3487";"428";"894";"2165"
"2017 week 4";"3626";"447";"956";"2223"
"2017 week 5";"3574";"424";"1038";"2112"
"2017 week 6";"3446";"472";"929";"2045"
"2017 week 7";"3417";"466";"877";"2074"
"2017 week 8";"3328";"439";"914";"1975"
"2017 week 9";"3152";"407";"828";"1917"
"2017 week 10";"3054";"436";"886";"1732"
"2017 week 11";"2843";"426";"795";"1622"
"2017 week 12";"2778";"413";"818";"1547"
"2017 week 13";"2850";"426";"866";"1558"
"2017 week 14";"2764";"435";"800";"1529"
"2017 week 15";"2810";"401";"866";"1543"
"2017 week 16";"2713";"403";"815";"1495"
"2017 week 17";"2778";"388";"821";"1569"
"2017 week 18";"2769";"389";"840";"1540"
"2017 week 19";"2802";"379";"853";"1570"
"2017 week 20";"2801";"387";"848";"1566"
"2017 week 21";"2772";"402";"830";"1540"
"2017 week 22";"2701";"377";"840";"1484"
"2017 week 23";"2624";"418";"749";"1457"
"2017 week 24";"2643";"400";"794";"1449"
"2017 week 25";"2627";"415";"803";"1409"
"2017 week 26";"2691";"435";"785";"1471"
"2017 week 27";"2697";"401";"816";"1480"
"2017 week 28";"2520";"397";"758";"1365"
"2017 week 29";"2674";"397";"832";"1445"
"2017 week 30";"2571";"384";"819";"1368"
"2017 week 31";"2510";"386";"775";"1349"
"2017 week 32";"2657";"416";"838";"1403"
"2017 week 33";"2540";"404";"795";"1341"
"2017 week 34";"2545";"384";"763";"1398"
"2017 week 35";"2576";"401";"790";"1385"
"2017 week 36";"2570";"384";"846";"1340"
"2017 week 37";"2707";"416";"864";"1427"
"2017 week 38";"2715";"443";"854";"1418"
"2017 week 39";"2669";"401";"823";"1445"
"2017 week 40";"2641";"421";"793";"1427"
"2017 week 41";"2763";"416";"877";"1470"
"2017 week 42";"2706";"394";"832";"1480"
"2017 week 43";"2676";"397";"791";"1488"
"2017 week 44";"2726";"427";"798";"1501"
"2017 week 45";"2797";"445";"795";"1557"
"2017 week 46";"2916";"430";"911";"1575"
"2017 week 47";"2917";"411";"912";"1594"
"2017 week 48";"2886";"419";"880";"1587"
"2017 week 49";"3027";"457";"899";"1671"
"2017 week 50";"3218";"458";"1017";"1743"
"2017 week 51";"3079";"424";"918";"1737"
"2017 week 52";"3187";"437";"934";"1816"
"Source: CBS"
