"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"0 to 64 years";"65 to 79 years";"80 years or older"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female"
"Periods";"aantal";"aantal";"aantal";"aantal"
"2015 week 1 (4 days)";"1910";"251";"511";"1148"
"2015 week 2";"3429";"443";"958";"2028"
"2015 week 3";"3377";"432";"885";"2060"
"2015 week 4";"3353";"473";"887";"1993"
"2015 week 5";"3322";"417";"902";"2003"
"2015 week 6";"3272";"447";"897";"1928"
"2015 week 7";"3311";"432";"928";"1951"
"2015 week 8";"3381";"454";"930";"1997"
"2015 week 9";"3207";"416";"884";"1907"
"2015 week 10";"3222";"452";"885";"1885"
"2015 week 11";"3086";"442";"895";"1749"
"2015 week 12";"3052";"478";"866";"1708"
"2015 week 13";"3084";"421";"884";"1779"
"2015 week 14";"2839";"402";"856";"1581"
"2015 week 15";"2888";"431";"831";"1626"
"2015 week 16";"2893";"430";"860";"1603"
"2015 week 17";"2829";"429";"831";"1569"
"2015 week 18";"2674";"402";"839";"1433"
"2015 week 19";"2741";"434";"787";"1520"
"2015 week 20";"2721";"410";"838";"1473"
"2015 week 21";"2566";"388";"754";"1424"
"2015 week 22";"2660";"433";"801";"1426"
"2015 week 23";"2595";"398";"775";"1422"
"2015 week 24";"2680";"363";"860";"1457"
"2015 week 25";"2559";"384";"805";"1370"
"2015 week 26";"2547";"403";"782";"1362"
"2015 week 27";"2848";"455";"825";"1568"
"2015 week 28";"2587";"399";"754";"1434"
"2015 week 29";"2567";"455";"783";"1329"
"2015 week 30";"2548";"420";"786";"1342"
"2015 week 31";"2490";"395";"794";"1301"
"2015 week 32";"2544";"405";"839";"1300"
"2015 week 33";"2529";"388";"746";"1395"
"2015 week 34";"2519";"367";"779";"1373"
"2015 week 35";"2527";"428";"786";"1313"
"2015 week 36";"2510";"393";"764";"1353"
"2015 week 37";"2599";"437";"790";"1372"
"2015 week 38";"2633";"416";"772";"1445"
"2015 week 39";"2683";"439";"838";"1406"
"2015 week 40";"2742";"468";"835";"1439"
"2015 week 41";"2690";"442";"807";"1441"
"2015 week 42";"2712";"404";"828";"1480"
"2015 week 43";"2832";"441";"902";"1489"
"2015 week 44";"2824";"414";"840";"1570"
"2015 week 45";"2692";"461";"829";"1402"
"2015 week 46";"2599";"400";"818";"1381"
"2015 week 47";"2806";"450";"868";"1488"
"2015 week 48";"2721";"431";"863";"1427"
"2015 week 49";"2759";"445";"834";"1480"
"2015 week 50";"2844";"446";"889";"1509"
"2015 week 51";"2881";"407";"899";"1575"
"2015 week 52";"2592";"397";"769";"1426"
"2015 week 53 (4 days)";"1658";"269";"497";"892"
"Source: CBS"
