"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"0 to 64 years";"65 to 79 years";"80 years or older"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female"
"Periods";"aantal";"aantal";"aantal";"aantal"
"2016 week 1";"3173";"463";"920";"1790"
"2016 week 2";"3075";"445";"863";"1767"
"2016 week 3";"3062";"432";"882";"1748"
"2016 week 4";"3201";"446";"874";"1881"
"2016 week 5";"3103";"455";"946";"1702"
"2016 week 6";"3036";"434";"907";"1695"
"2016 week 7";"3027";"448";"893";"1686"
"2016 week 8";"3319";"471";"936";"1912"
"2016 week 9";"3185";"479";"925";"1781"
"2016 week 10";"3151";"433";"896";"1822"
"2016 week 11";"3062";"485";"884";"1693"
"2016 week 12";"3028";"444";"896";"1688"
"2016 week 13";"3037";"437";"924";"1676"
"2016 week 14";"3010";"428";"866";"1716"
"2016 week 15";"2767";"395";"829";"1543"
"2016 week 16";"2751";"421";"824";"1506"
"2016 week 17";"2742";"407";"763";"1572"
"2016 week 18";"2754";"397";"821";"1536"
"2016 week 19";"2952";"424";"888";"1640"
"2016 week 20";"2671";"348";"779";"1544"
"2016 week 21";"2713";"421";"764";"1528"
"2016 week 22";"2682";"390";"821";"1471"
"2016 week 23";"2587";"378";"757";"1452"
"2016 week 24";"2620";"436";"771";"1413"
"2016 week 25";"2597";"412";"769";"1416"
"2016 week 26";"2609";"405";"821";"1383"
"2016 week 27";"2693";"407";"804";"1482"
"2016 week 28";"2627";"388";"743";"1496"
"2016 week 29";"2753";"428";"842";"1483"
"2016 week 30";"2542";"397";"765";"1380"
"2016 week 31";"2500";"416";"758";"1326"
"2016 week 32";"2558";"420";"775";"1363"
"2016 week 33";"2568";"411";"779";"1378"
"2016 week 34";"2701";"414";"857";"1430"
"2016 week 35";"2591";"420";"791";"1380"
"2016 week 36";"2584";"414";"782";"1388"
"2016 week 37";"2725";"439";"825";"1461"
"2016 week 38";"2500";"409";"810";"1281"
"2016 week 39";"2665";"411";"817";"1437"
"2016 week 40";"2683";"412";"836";"1435"
"2016 week 41";"2934";"461";"938";"1535"
"2016 week 42";"2744";"450";"833";"1461"
"2016 week 43";"2948";"458";"844";"1646"
"2016 week 44";"2731";"400";"809";"1522"
"2016 week 45";"2912";"426";"880";"1606"
"2016 week 46";"2902";"429";"866";"1607"
"2016 week 47";"2908";"395";"876";"1637"
"2016 week 48";"2949";"442";"869";"1638"
"2016 week 49";"3042";"457";"935";"1650"
"2016 week 50";"3129";"444";"944";"1741"
"2016 week 51";"3072";"417";"942";"1713"
"2016 week 52 (6 days)";"2860";"413";"840";"1607"
"Source: CBS"
