Date,Date_mod,deaths
2015M07D19,2015-07-19,131
2015M07D20,2015-07-20,122
2015M07D21,2015-07-21,147
2015M07D22,2015-07-22,147
2015M07D23,2015-07-23,132
2015M07D24,2015-07-24,137
2015M07D25,2015-07-25,121
2015M07D26,2015-07-26,145
2015M07D27,2015-07-27,141
2015M07D28,2015-07-28,134
2015M07D29,2015-07-29,144
2015M07D30,2015-07-30,124
2015M07D31,2015-07-31,129
2015M08D01,2015-08-01,126
2015M08D02,2015-08-02,149
2015M08D03,2015-08-03,139
2015M08D04,2015-08-04,146
2015M08D05,2015-08-05,135
2015M08D06,2015-08-06,126
2015M08D07,2015-08-07,151
2015M08D08,2015-08-08,131
2015M08D09,2015-08-09,101
2015M08D10,2015-08-10,151
2015M08D11,2015-08-11,164
2015M08D12,2015-08-12,124
2015M08D13,2015-08-13,124
2015M08D14,2015-08-14,132
2015M08D15,2015-08-15,134
2015M08D16,2015-08-16,124
2015M08D17,2015-08-17,140
2015M08D18,2015-08-18,116
2015M08D19,2015-08-19,127
2015M08D20,2015-08-20,131
2015M08D21,2015-08-21,110
2015M08D22,2015-08-22,149
2015M08D23,2015-08-23,153
2015M08D24,2015-08-24,142
2015M08D25,2015-08-25,128
2015M08D26,2015-08-26,122
2015M08D27,2015-08-27,123
2015M08D28,2015-08-28,125
2015M08D29,2015-08-29,126
2015M08D30,2015-08-30,135
2015M08D31,2015-08-31,129
2015M09D01,2015-09-01,120
2015M09D02,2015-09-02,141
2015M09D03,2015-09-03,117
2015M09D04,2015-09-04,117
2015M09D05,2015-09-05,120
2015M09D06,2015-09-06,135
2015M09D07,2015-09-07,126
2015M09D08,2015-09-08,137
2015M09D09,2015-09-09,121
2015M09D10,2015-09-10,123
2015M09D11,2015-09-11,123
2015M09D12,2015-09-12,162
2015M09D13,2015-09-13,121
2015M09D14,2015-09-14,153
2015M09D15,2015-09-15,144
2015M09D16,2015-09-16,136
2015M09D17,2015-09-17,147
2015M09D18,2015-09-18,112
2015M09D19,2015-09-19,126
2015M09D20,2015-09-20,124
2015M09D21,2015-09-21,126
2015M09D22,2015-09-22,129
2015M09D23,2015-09-23,129
2015M09D24,2015-09-24,141
2015M09D25,2015-09-25,146
2015M09D26,2015-09-26,146
2015M09D27,2015-09-27,146
2015M09D28,2015-09-28,130
2015M09D29,2015-09-29,130
2015M09D30,2015-09-30,131
2015M10D01,2015-10-01,139
2015M10D02,2015-10-02,139
2015M10D03,2015-10-03,148
2015M10D04,2015-10-04,142
2015M10D05,2015-10-05,138
2015M10D06,2015-10-06,133
2015M10D07,2015-10-07,123
2015M10D08,2015-10-08,117
2015M10D09,2015-10-09,130
2015M10D10,2015-10-10,149
2015M10D11,2015-10-11,137
2015M10D12,2015-10-12,128
2015M10D13,2015-10-13,125
2015M10D14,2015-10-14,116
2015M10D15,2015-10-15,146
2015M10D16,2015-10-16,149
2015M10D17,2015-10-17,133
2015M10D18,2015-10-18,151
2015M10D19,2015-10-19,128
2015M10D20,2015-10-20,138
2015M10D21,2015-10-21,137
2015M10D22,2015-10-22,157
2015M10D23,2015-10-23,159
2015M10D24,2015-10-24,136
2015M10D25,2015-10-25,142
2015M10D26,2015-10-26,154
2015M10D27,2015-10-27,118
2015M10D28,2015-10-28,142
2015M10D29,2015-10-29,151
2015M10D30,2015-10-30,149
2015M10D31,2015-10-31,131
2015M11D01,2015-11-01,148
2015M11D02,2015-11-02,139
2015M11D03,2015-11-03,123
2015M11D04,2015-11-04,158
2015M11D05,2015-11-05,134
2015M11D06,2015-11-06,141
2015M11D07,2015-11-07,125
2015M11D08,2015-11-08,151
2015M11D09,2015-11-09,139
2015M11D10,2015-11-10,146
2015M11D11,2015-11-11,171
2015M11D12,2015-11-12,139
2015M11D13,2015-11-13,128
2015M11D14,2015-11-14,118
2015M11D15,2015-11-15,144
2015M11D16,2015-11-16,153
2015M11D17,2015-11-17,120
2015M11D18,2015-11-18,146
2015M11D19,2015-11-19,145
2015M11D20,2015-11-20,132
2015M11D21,2015-11-21,152
2015M11D22,2015-11-22,138
2015M11D23,2015-11-23,151
2015M11D24,2015-11-24,158
2015M11D25,2015-11-25,141
2015M11D26,2015-11-26,152
2015M11D27,2015-11-27,152
2015M11D28,2015-11-28,169
2015M11D29,2015-11-29,160
2015M11D30,2015-11-30,160
2015M12D01,2015-12-01,158
2015M12D02,2015-12-02,158
2015M12D03,2015-12-03,144
2015M12D04,2015-12-04,162
2015M12D05,2015-12-05,175
2015M12D06,2015-12-06,148
2015M12D07,2015-12-07,135
